profile,milestone,reached,players,completion_rate,mean_wall_seconds_reached,p10_wall_seconds_reached,p50_wall_seconds_reached,p90_wall_seconds_reached,p50_attended_seconds_reached
"combined_plus_xp/balanced","first_extraction","3","3","1.0","149.633333333329","144.019999999996","153.299999999995","153.779999999995","153.299999999995"
"combined_plus_xp/balanced","first_research","3","3","1.0","164.633333333329","159.019999999996","168.299999999995","168.779999999995","168.299999999995"
"combined_plus_xp/balanced","passive_income","3","3","1.0","149.633333333329","144.019999999996","153.299999999995","153.779999999995","153.299999999995"
"combined_plus_xp/balanced","fan","3","3","1.0","164.633333333329","159.019999999996","168.299999999995","168.779999999995","168.299999999995"
"combined_plus_xp/balanced","well_2","3","3","1.0","4595.26666666671","398.260000000018","571.30000000005","10401.8600000001","571.30000000005"
"combined_plus_xp/balanced","specialization","3","3","1.0","602.366666666717","418.840000000021","564.200000000048","801.16000000008","564.200000000048"
"combined_plus_xp/balanced","three_surges","3","3","1.0","149.633333333329","144.019999999996","153.299999999995","153.779999999995","153.299999999995"
"combined_plus_xp/balanced","well_3","2","3","0.66666666666667","1093.20000000007","998.960000000113","1093.20000000007","1187.44000000002","1093.20000000007"
"combined_plus_xp/balanced","boss","2","3","0.66666666666667","1291.39999999993","1196.99999999999","1291.39999999993","1385.79999999987","1291.39999999993"
"combined_plus_xp/balanced","all_core_research","3","3","1.0","4764.86666666658","727.480000000079","913.800000000111","10342.6799999997","913.800000000111"
"combined_plus_xp/risk_seeking","first_extraction","3","3","1.0","316.766666666675","227.359999999995","321.200000000005","404.400000000022","321.200000000005"
"combined_plus_xp/risk_seeking","first_research","3","3","1.0","326.766666666675","237.359999999995","331.200000000005","414.400000000022","331.200000000005"
"combined_plus_xp/risk_seeking","passive_income","3","3","1.0","316.766666666675","227.359999999995","321.200000000005","404.400000000022","321.200000000005"
"combined_plus_xp/risk_seeking","fan","3","3","1.0","326.766666666675","237.359999999995","331.200000000005","414.400000000022","331.200000000005"
"combined_plus_xp/risk_seeking","well_2","3","3","1.0","750.300000000006","455.980000000033","553.100000000051","1123.49999999996","553.100000000051"
"combined_plus_xp/risk_seeking","specialization","3","3","1.0","405.866666666688","277.439999999995","378.000000000013","545.44000000005","378.000000000013"
"combined_plus_xp/risk_seeking","three_surges","3","3","1.0","316.766666666675","227.359999999995","321.200000000005","404.400000000022","321.200000000005"
"combined_plus_xp/risk_seeking","well_3","3","3","1.0","11241.9333333185","1008.46000000012","1107.90000000007","25529.0199999643","1107.90000000007"
"combined_plus_xp/risk_seeking","boss","3","3","1.0","11338.7666666514","1105.48000000007","1204.59999999999","25625.7199999633","1204.59999999999"
"combined_plus_xp/risk_seeking","all_core_research","3","3","1.0","857.466666666691","589.920000000058","745.200000000085","1169.91999999997","745.200000000085"
